id,Extractor,Identifier,Title,Venue,Year,Exclude,SR,SD,SC,ST,SM,SCM,SEM,SEP,SEMM,SQ,SEPP,SEE,CF,MF,EF,Theory,Cognitive Concepts,Cognitive Measures,Assessment,Added Value of Cognitive Aspect,Academia,Industry,Solution Proposal (example),Empirical Study,Experience Papers,Philosophical Papers,Opinion Papers,Unnamed: 34,Attention,Selective attention,Divided attention,Sustained attention,Memory,Working memory,Short-term memory,Long-term memory,Cognitive load,Intrinsic CL,Extrinsic CL,Emotion,Motivation,Intrinsic motivation,Extrinsic motivation,Stress,Reward,Appr. avoid. motiv.,Arousal,Attitude,Perception,Problem solving,Reasoning,Decision making,Errors,Cognitive biases,Knowledge,Explicit knowledge,Tacit knowledge,Techn. tacit knowl.,Cogn. tacit knowl.,Cognitive control,Executive functions,Inhibition,Unnamed: 69,Qualit. measures,Fieldwork,Interview,Task-based,Open observation,Quantit. measures,Task performance,Physiological meas.,Subjective ratings,Behavioral meas.
60,Robert,Dhukaram2016,A Systematic Approach for Developing Decision Aids: From Cognitive Work Analysis to Prototype Design and Development,"International Conference on Information Systems, ICIS 2012",2016,1,1,1,,,,,,,,,,,,,,Cognitive Work Analysis,,N/A,None,Central but only a solution proposal with one worked example (which they call case study),1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Michael F.,Dobesova2013,"Using the ""Physics"" of notation to analyse ModelBuilder diagrams","International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM",2013,,,,,,,,,,,,,,,,,Physics of Notation,"Cognitive Fit
Cognitive Integration",,,Improvement of cognitive quality of diagrams,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
62,Fabian F.,Dunn2005,Critical evaluation of conceptual data models,International Journal of Accounting Information Systems,2005,,1,1,,,,,,,1,,,,,,,,"Cognitive biases
Cognitive load",Choices made when interpreting entity-relationship diagrams,Tasks performed in an experiment setup,Central to the study,1,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,
63,Fabian F.,Duseau2012,Vasco: A visual approach to explore object churn in framework-intensive applications,"IEEE International Conference on Software Maintenance, ICSM",2012,1,,,1,,1,,,,,,,,,,,,Cognitive effort,Ability to find object churn (excessive use of temporary objects),Evaluation of proposed tool/method in selected tasks,Motivates the study,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Fabian F.,Feigenspan2012,Measuring Programming Experience,Proc. Int’l Conf. Program Comprehension (ICPC),2012,,,,1,,1,,,,,,,,,,,None,"Programming experience, (Program) comprehension","Programming experience, (Program) comprehension","Programming experience: Self-assessment, Years of programming, Education, Size of professional projects, Age. Program comprehension: Comprehension task (experiment).",Central to the study,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,
65,Fabian F.,Figl2012,Symbol choice and memory of visual models,Visual Languages and Human-Centric Computing (VL/HCC),2012,,1,1,,,,,,,,,,,,,,"Symbols and their processing, memory; refers to working memory theory","Visual symbols, cognitive symbols, memory",Diagram recall,"Recall task: verbal recall task, visual recall task: estimating symbol amount, visual recall task: recognising model changes",Central to the study,1,,,1,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
66,Fabian F.,Fisher2006,Using Sex Differences to Link Spatial Cognition and Program Comprehension,Proceedings of the 22nd International Conference in Software Maintenance (ICSM’06),2006,,,,1,,1,,,,,,,,,,,"Theories of program comprehension, spatial cognition, and sex differences in behaviour are synthesised into hypotheses.","Program comprehension , spatial cognition","Program comprehension, spatial cognition","Spatial comprehension task (experiment). Object memory test, object location test, (Silverman and Eals), mental rotation test (Vandenburg and Kuse).",Central to the study,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,1,,,
67,Fabian F.,Fletcher1984,Cognitive Abilities and Computer Programming,EDRS(ED259700),1984,,,,1,,,,,,,,,,,,,None,Cognitive processes,"Spatial ability, Field Dependence/Independence, General reasoning or non-verbal intellect, Analytic versus holistic processing, Math skills, Programming abilities","Spatial ability: Paper folding test, Surface development test, Form board test; Field Dependence/Independence: Hidden figures test; General reasoning or non-verbal intellect: Raven's progressive matrices (abbreviated form); Analytic versus holistic processing: Gestalt completion test; Math skils: test designed for the purpose; Programming abilities: tests designed to assess program generation and debugging ability and BASIC command and syntax knowledge",Central to the study,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,,,1,,,,,,,,,1,,,
68,Fabian F.,Fritz2014,Using psycho-physiological measures to assess task difficulty in software development,Proceedings - International Conference on Software Engineering,2014,,,,1,,,,,,,,,,,,,Relationship between psychophysiological characteristics and cognitive load,,"Task difficulty
Cognitive load
Mental load
Arousal (cognitively determined)
Attention
Calmness","Eye-tracking
Electrodermal activity
EEG",Central to the study,,1,,1,,,,1,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1
69,Michael F.,Fritz2014a,Developers’ Code Context Models for Change Tasks,"Foundations of Software Engineering, FSE",2014,,,,1,,1,,,,,,,,,,,,Program Comprehension,navigation measurement based on code navigation model,,deeper understanding of code change tasks,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
70,Robert,Furuta1994,Support tool for design requirement elaboration,Applications of Artificial Intelligence in Engineering,1994,,,1,,,,,,,,,,,,,,Rasmussen abstraction hierarchies,Cognitive work space,"No systematically collected empirical support, they just describe their prototype.",None,Basic for design approach and thus for tool-,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
71,Michael U.,Gauvin2004,Reduction of cognitive load through the addition of high-level semantics to ReactoGraph,Proceedings - 2004 IEEE Symposium on Visual Languages and Human Centric Computing,2004,,,,1,,,,,,,,,,,,,,"Cognitive support for perception, attention and memory",Task performance,Think aloud protocol / Task completion duration,Central to the paper,1,,1,1,,,,1,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,
72,Robert,Gauvin2004,Reduction of cognitive load through the addition of high-level semantics to ReactoGraph,Proceedings - 2004 IEEE Symposium on Visual Languages and Human Centric Computing,2004,,,,1,,,,,,,,,,,,,Cognitive Load Theory,,None directly.,"Indirectly the think-aloud protocol was used to find problematic areas that could be argued to be ""cognitive"". Main quant measreument was normal UI use/completion times based on paper prototypes of the changed tool was used. Questionnaire also used to judge problems.",Quite central to the redesign of the tool that was done. But not used directly for measurements.,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Michael F.,Gilmore1988,Programming plans and programming expertise,The Quarterly Journal of Experimental Psychology Section A,1988,,,,1,,,,,,,,,,,,,,,"errors (surface, control-flow, plan, interaction)",,understanding of program plans and program expertise,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
74,Michael F.,Gordon1979,Measuring Improvements in Program Clarity,IEEE Transactions on Software Engineering,1979,1,,,1,,,,,,,,,,,,,,,Mental Effort,Halstead metrics are used to measure program clarity,Measurement of mental effort via Halstead metrics,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Michael U.,Green1977,Conditional Program Statement and Their Comprehensibility to Professional Programmers,Journal of Occupational Psychology,1977,,,,1,,,,,,,,,,,,,,"Cognitive process in program comprehension, in particular tracing",Task performance (problem solving speed and correctness),Evaluation of logically equivalent but different styles of conditional statements ,"Given that this is published in a psychology journal, the paper discusses very little how the result from the experiment can be interepreted from a cognitive science standpoint.",1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,
76,Michael U.,Green1989,Cognitive dimensions of notations,People and Computers,1989,,,1,1,,,,,,,,,,,,,Cognitive dimensions of notations. This paper is likely the origin of this theory. CD is an umbrella to discuss notational aspects with cognitive aspects. ,"Perception of code structure, comprehension. Complexity of code. ",None,None,Central to the paper,,,,,,1,,1,,,,,,1,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
77,Michael U.,Green1996,Usability analysis of visual programming environments: a ’cognitive dimensions’ framework.,Journal of Visual Languages and Computing,1996,,,1,1,,,,,,,,,,,,,See Green1989. Also this paper does not talk about cognitive concepts per se which makes it difficult to extract this data. ,None in particular (although working memory is mentioned several times),None,None,Central to the paper,,,,,,1,,1,,,,,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
78,Michael U.,Gruhn2006,Adopting the cognitive complexity measure for business process models,Fifth IEEE International Conference on Cognitive Informatics,2006,,1,,,,,,,,,,,,,,,,Cognitive complexity,Cognitive weight,None,Central to the paper,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,,,
79,Fabian F.,Gruhn2007,Approaches for business process model complexity metrics,Technologies for Business Information Systems,2007,,,,,,,,,1,,,,,,,,,Cognitive complexity,Cognitive weight,None,Central to the paper,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,,,
80,Bogdan M.,Guindon1986,Breakdowns and processes during the early activities of software design by professionals,Empirical Studies of Programmers,1986,,,1,,,,,,,,,,,,,,,cognitive limitations,,Think aloud protocol,Used for motivation and result interpretation. Unclear of the effect on study design,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,
81,Robert,Hadar2013,When intuition and logic clash: The case of the object-oriented paradigm,Science of Computer Programming,2013,,,1,,,,,,,,,,,,,,"Dual process theory (slow and fast thinking, Kahnemann)",Analytical and intuitive thinking,"No, qualitative study","Task based, observations and interviews",Central to paper.,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,
82,Bogdan M.,Hahn1999,Why are some diagrams easier to work with? Effects of diagrammatic representation on the cognitive integration process of systems analysis and design,Transactions on Computer Human Interactions,1999,,,1,,,,,,,,,,,,,,GOMS model of diagram integration,"knowledge representation, diagrammatic representation","Integration performance data, behavior data","Number of design errors, analysis behavior graph",Central to the paper,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
83,Bogdan M.,Hansen2012a,Computing Requirements: Cognitive Approaches to Distributed Requirements Engineering,Hawaii International Conference on System Sciences,2012,,1,,,,,,,,,,,,,,,Theory of distributed cognition (Hutchin),,,,Central to the paper,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Bogdan M.,Hansen2012b,Cognitive Architectures: A Way Forward for the Psychology of Programming,"Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software",2012,,,1,,,,,,,,,,,,,,Cognitive modelling,"program comprehension, cognitive architectures",Cognitive complexity,,Central to the paper,1,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Fabian F.,Hatton1998,Does OO Sync with How We Think?,IEEE Software,1998,,,,1,1,1,,,,,,,,,,,,"Cognitive fit
Cognitive complexity
Short-term memory
Long-term memory",Fitness of OO (C++) to human cognitive characteristics,None directly,Central to the argument,,,,1,,1,,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Robert,Heliades2000,Notation and nature of task in comprehending design rationale,Knowledge-Based Systems,2000,,,1,,,,,,,,,,,,,,,Cognitive Fit,None,None. Dep vars are correct answers and response time. Also uses questionnaire to judge intuitiveness etc of different design rationaly formats.,"Unclear, only used in base argument and partly in analysis.",1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
87,Fabian F.,Hendrix2002,The effectiveness of control structure diagrams in source code comprehension activities,IEEE Transactions on Software Engineering,2002,,,,1,,1,,,,,,,,,,,,Program comprehension,Program comprehension,Program comprehension task,Central to the study,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,
88,Michael U.,Hofman2010,Web applications quality perception,"Proceedings of the International MultiConference of Engineers and Computer Scientists 2010, IMECS 2010",2010,,,,,,,,,,,1,,,,,,Gossen's law,Cognitive process assiciated with the perception of software quality.,None,None,Not much as little is discussed about the cognitive process of quality perception.,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
89,Michael F.,Hofman2011,Behavioral economics in software quality engineering,Empirical software Engineering,2011,,,,,,,,,,,1,,,,,,Software Quality Perception Model,"Observer's Mental State
Observer's Knowledge
Perception of Attributes",Personal Knowledge,Rating of quality aspects on scale with 11 values Likert scale,Subjective quality perception to investigate whether experience with previous versions influences the final version's quality assessment,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
90,Michael F.,Hyysalo2013,Supporting cognitive work in software development workflows,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2013,,,,,,,,,1,,,,,,,,,Cognitive Work Support Model,"WHY, WHAT, HOW Level to identify cognitive issues",Interview with developers and managers,Make cognitive issues in software processes explicit,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Michael F.,Iio1997,Experimental analysis of the cognitive processes of program maintainers during software maintenance,Conference on Software Maintenance,1997,,,,,,1,,,,,,,,,,,,Understanding,"Correct Answers
Elapsed Time",Video Camera used to find out how much time needed for moduls,Study of cognitive processes during maintenance,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,
92,Fabian F.,Jeffries1981,The processes involved in designing software,"Cognitive Skills and Their Acquisition, Lawrence Erlbaum Associates",1981,,,1,1,,,,,,,,,,,,,,"Software design process (as a human information-processing activity)
Problem-solving
Memory
Expert knowledge / Level of expertise (vs. novices)
Knowledge representation (Access to background knowledge, Episodic retrieval, Understanding of concepts, Understanding of implications",Holistic consideration of how experts and novices perform software design,Think-aloud protocols observing experts and novices performing software design,Central to the argument,1,1,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,
93,Fabian F.,Jorgensen2009,Identification of More Risks Can Lead to Increased Over-Optimism of and Over-Confidence in Software Development Effort Estimates,Information & Software Technology,2009,,,,,,,,1,,,,,,,,,Cognitive heuristics and biases,"Illusion of control
Cognitive accessibility
The peak-end rule
Risk as a feeling","Degree of optimism in effort estimates
Degree of confidence in estimation accuracy and project success probability",Effort estimation task,Central to the study,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,1,,,
94,Michael U.,Kamthan2006,A framework for the pragmatic quality of Z specifications,International Journal of Software Engineering and Knowledge Engineering,2006,,1,,,,,,,,,,,,,,,,"Cognitive dimensions of notations, which is a framework for describing the utility of notational systems.",None,None,Central to the paper.,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
95,Michael F.,Kant1984,Problem solving techniques for the design of algorithms,Information Processing and Management,1984,,,,1,,,,,,,,,,,,,Problem Space Theory,Problem Space,,,Understanding of algorithm design,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
96,Fabian F.,Khatri2006,Understanding conceptual schemas: exploring the role of application and IS domain knowledge,Information Systems Research,2006,,1,,,,,,,,,,,,,,,Cognitive fit (Vessey 1991),"Domain knowledge
Model comprehension",Conceptual schema (ER model) understanding,"Conceptual schema understanding task with blocked design and different kinds of conceptual schema as task material
Multiple-choice questions to assess understanding
Score in database course to assess level of expertise in IS domain",Central to the study,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,1,
97,Fabian F.,Kirs2001,A process model cognitive biasing effects in information systems development and usage,Information and Management,2001,,,1,,,,,,,,,,,,,,,Cognitive biases,,,Central to the paper's theoretical analysis,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
98,Michael U.,Kjærgaard2007,Making sense of project management - A case of knowledge management in software development,European Conference on Information Systems,2007,,,,,,,,1,,,,,,,,,,Cognitive processes in knowledge management and sensemaking,None,None,Cognitive processes are central to the model,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
99,Robert,Kjærgaard2007,Making sense of project management - A case of knowledge management in software development,European Conference on Information Systems,2007,,,,,,,,1,,,,,,,,,,"Cognitive processing (noticing, interpreting, enacting), Belief negotiation",None,"None, it is a qualitative interpretation of a case study","Central to analysis and partly to study design since it defines a theoretical model used to analyse what was observed in a case, but also (implicitly) which data to collect.",,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
100,Michael F.,Klemola2000,A Cognitive Model for Complexity Metrics,International ECOOP Workshop on Quantitative Approaches in Object-Oriented Software Engineering (ECOOP 2000),2000,,,1,,,,,,,,1,,,,,,,"Short-term memory
Long-term memory","identifier density
term density",chunking of text and text-based measurement,cognitive complexity metrics to estimate risks where errors occur,,,,,,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Michael U.,Klemola2002,Modeling comprehension processes in software development,"Proceedings - 1st IEEE International Conference on Cognitive Informatics, ICCI 2002",2002,,1,1,1,1,1,,,,,,,,,,,"Hierarchy of cognitive engagement (recognition->searching->memorizing->learning->creation). Not really a theory but a model of ranking comprehension tasks (based on cognitive effort).
Provides also a model of the factors that affect the comprehesion process.","Role of short and long-term memory, expert knowledge on program comprehesion and disucssion on how methods, tools and reference material can reduce the comprehension effort.",None discussed. Treated on a conceptual level.,None,Central to the paper.,,,,,,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
102,Michael F.,Koenemann1991,Expert Program Solving Strategies for Program Comprehension,SIGCHI Conference on Human Factors in Computing Systems,1991,,,,1,,1,,,,,,,,,,,,Program comprehension,process time,information used to complete tasks,better understanding of program comprehension aiming at cognitively adequate tool support,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,
103,Robert,Krancher2012,Learning software maintenance tasks in offshoring projects: A cognitive-load perspective,"International Conference on Information Systems, ICIS 2012",2012,,,,,,1,,,,,,,,,,,Cognitive Load Theory,Cognitive load,N/A,Qualitative analysis.,Central to paper.,,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Michael F.,Krancher2012a,Learning software-maintenance tasks in the transition phase of offshore outsourcing projects: Two learning-theoretical perspectives,Lecture Notes in Business Information Processing,2012,,,,,,1,,1,,,,,,,,,Cognitive Load Theory,"Learning Task
Supportive Information
Procedural Information
Part-Task Practice",,,Investigation of role of knowledge transfer in transition of offshore outsourcing projects,,,,,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Michael F.,Krovi1998,User cognitive representations: The case for an object oriented model,Journal of Systems and Software,1998,,1,1,,,,,,,,,1,,,,,,"object-oriented cognitive structures
user cognitive representations
cognitive economy","response time
error rates",,Effect of cognitive structures on user performance,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,
106,Michael F.,Kudo2003,SpecRefiner: Assistance for stepwise refinement of software development in the upstream process,Systems and Computers in Japan,2003,,,,,,,,,1,,,,,,,,,Cognitive Load,Analytical Time,time measurement,reduce the cognitive load of analysis and design of a system by connecting expert knowledge and task-level knowledge seamlessly through the use of domain-oriented expert knowledge and task-level knowledge,,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
107,Fabian F.,Leite2015,UE dashboard: Awareness of unusual events in commit histories,"2015 10th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering, ESEC/FSE 2015 - Proceedings",2015,,,,1,,1,1,,1,,,,,,,,,"Awareness (of unusual events), task difficulty","1) difficulty, 2) criticality, and 3) typicality of selected tasks.",5-point scale rating,Indirect,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
108,Michael U.,Letovsky1987,Cognitive Processes in Program Comprehension,The Journal of Systems and Software,1987,,,,1,,1,,,,,,,,,,,,Problem solving (understanding and modifying code),"Type and frequency of utterances, such as inquiries, questions and conjectures.",Thinking aloud protocol,Central to the paper,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
109,Fabian F.,Leveson1998,Intent specifications: An approach to building human-centered specifications,Proceedings of the IEEE International Conference on Requirements Engineering,1998,,1,1,1,,,,,,1,,1,,,,,,"Problem-solving
Problem representation (in cognitive psychology sense)
Mental models and strategies",,,Provides a frame for analysis and theoretical evaluation,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
110,Robert,Leveson2000,Intent specifications: An approach to building human-centered specifications,IEEE Transactions on Software Engineering,2000,,1,1,,,,,,,,,,,,,,Rasmussen abstraction hierarchies,Intent abstraction,"No systematically collected empirical support, they just talk about their own use of the method",None,Basis for specification approach.,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
111,Fabian F.,Ley2008,Modeling competencies for supporting work-integrated learning in knowledge work,Journal of Knowledge Management,2008,,1,,,,,,,,,,,,,,,The competence performance approach,"Competencies (knowledge, skills, abilities)
Learning","Derivation of a set of tasks
Derivation of needed competencies
Construction of competence performance structures","Extracting data for the cognitive measures from content analysis of process documents
Interviews with experts
Expert judgement",Provides a framework for reasoning about the paper's topic and steer the study.,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
112,Michael U.,Lloyd1999, A cognitive information processing and information theory approach to diagram clarity: A synthesis and experimental investigation,Journal of Systems and Software,1999,,,1,,,,,,,,,,,,,,"Information Theory, Cognitive Information Processing",Problem solving (understanding diagrams),Comprehesion and speed of comprehesion,Questionnaire,Central to the paper,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,
113,Bogdan M.,Love1977,An experimental investigation of the effect of program structure on program understanding,Language Design for Reliable Software,1977,,,,,,1,,,,,,,,,,,,"program understanding, program comprehension","Program memorization and reconstruction, description of program function",Percentage of lines recalled correctly and in the original sequence,Central to the paper,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
114,Bogdan M.,Maier2014,Towards diagram understanding: a pilot-study measuring cognitive work-load through eye-tracking,International Conference on Human Behavior in Design,2014,,1,1,,,1,,,,,,,,,,,,"program comprehension,",cognitive workload,"pupil dilation, fixations",Central to the paper,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
115,Robert,Mair2011,Human judgement and software metrics: Vision for the future,Proceedings - International Conference on Software Engineering,2011,,,,,,,,1,,,,,1,,,,,"Metacognition, Expert behavior, Expert performance, Human/cognitive bias",,"None, it is a theoretical study / opinion paper arguing that Cognitive Psychology should be considered more.",Central to the papers proposal for a more holistic and interdisciplinary research approach for metrics.,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
116,Bogdan M.,Malhotra1980,Cognitive processes in design,Journal of Man–Machine Studies,1980,,1,1,,,,,,,,,,,,,,,Design Cycles,"Originality, Practicality",Presence or absence of any feature present in any design,Central to the paper,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,,,1,,,,1,1,1,,1,
117,Bogdan M.,McKeithen1981,Knowledge organization and skill differences in computer programmers,Cognitive Psychology,1981,,,,,,1,,,,,,,,,,,,organization of information,"Program memorization and reconstruction, free-learning free-recall","number of lines written verbatim, in the proper order, 
Reitman & Rueter recall algorithm",Central to the paper,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
118,Fabian F.,Miller2004,A Cognitive-Based Mechanism for Constructing Software Inspection Teams,IEEE Transactions on Software Engineering,2004,,,,,,,,,,,1,,,,,,,"Personality
Cognitive styles","Personality
Cognitive style","MBTI personality test
Inspection task",Central to the study,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,1,
119,Michael U.,Moe2008,Understanding a lack of trust in Global Software Teams: a multiple-case study,Software Process: Improvement and Practice,2008,,,,,,,,,1,,,,1,,,,,Cognitive-based trust,Reasons and consequences of lack of cognitive-based trust,Perceived/experienced cognitive-based trust based on interviews,Central to the paper.,,1,,1,,, ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Fabian F.,Mohan2008,Using traceability to mitigate cognitive biases in software development,Communications of the ACM,2008,,1,1,,,,,,,,,1,,,,,Cognitive biases,"Anchoring
Adjustment bias
Availability bias
Confirmation bias",Understanding of system concepts under influence of different degrees of traceability,Analysis of talk-aloud protocols,Central to the study,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,
121,Michael U.,Mohani2014,Requirements Fixation,International Conference on Software Engineering,2014,,1,1,,,,,,,,,,,,,,Fixation and framing effects,Cognitive bias,Design creativity,Subjective 5 point scale,"Framing desiderata as ""requirements"" (Product X shall support Y) decreases design innovation compared to idea fomulations (Product X might support Y).",1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,
122,Fabian F.,Moody2006,What makes a good diagram? Improving the cognitive effectiveness of diagrams in is development,Proceedings of the 15th international conference on information systems development (ISD 2006),2006,,1,1,,,,,,,,,,,,,,,"Language/semiology of graphics
Visual perception
Working memory
Long-term memory
Gestalt laws of perception
Cognitive integration",None,None,Central to the argument,,,,,,1,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
123,Fabian F.,Moody2008,Evaluating the visual syntax of UML: an analysis of the cognitive effectiveness of the UML suite of diagrams,Proceedings of the 1st international conference on software language engineering (SLE2008),2008,,,1,,,,,,,,,,,,,,,"Cognitive effectiveness
Ontological analysis
Information theory
Semiology of graphics
Human graphical information processing","Cognitive effectiveness:
Principle of semiotic clarity
Principle of perceptual discriminability
Principle of perceptual immediacy
Principle of visual expressiveness
Principle of graphic parsinomy","Principle of semiotic clarity:
- Symbol redundancy
- Symbol overload
- Symbol excess
- Symbol deficit
Principle of perceptual discriminability:
- Visual distance
- Perceptual popout
Principle of perceptual immediacy:
- Symbols provide cues to their meaning
Principle of visual expressiveness
- The number of different visual variables
Principle of graphic parsinomy
- The size of the visual vocabulary",Central to the study,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
