Extractor;Identifier;Title;Venue;Year;Exclude;SR;SD;SC;ST;SM;SCM;SEM;SEP;SEMM;SQ;SEPP;SEE;CF;MF;EF;Theory;Cognitive Concepts;Cognitive Measures;Assessment;Added Value of Cognitive Aspect;Academia;Industry;Solution Proposal (example);Empirical Study;Experience Papers;Philosophical Papers;Opinion Papers;"Outcome
Contribution





";;Attention;Selective attention;Divided attention;Sustained attention;Memory;Working memory;Short-term memory;Long-term memory;Cognitive load;Intrinsic CL;Extrinsic CL;Emotion;Motivation;Intrinsic motivation;Extrinsic motivation;Stress;Reward;Appr. avoid. motiv.;Arousal;Attitude;Perception;Problem solving;Reasoning;Decision making;Errors;Cognitive biases;Knowledge;Explicit knowledge;Tacit knowledge;Techn. tacit knowl.;Cogn. tacit knowl.;Cognitive control;Executive functions;Inhibition;;Qualit. measures;Fieldwork;Interview;Task-based;Open observation;Quantit. measures;Task performance;Physiological meas.;Subjective ratings;Behavioral meas.
Michael U.;DaCunha2016;Decision-making in software project management: A qualitative case study of a private organization;Proceedings - 9th International Workshop on Cooperative and Human Aspects of Software Engineering, CHASE 2016;2016;;;;;;;;1;;;;;;;;;;Cognitive biases (availability, anchoring and adjustment) ;None;None;A part of the study looks at congnitive biases, but the focus is on describing decision making processes in project management.;;1;;1;;;;Borderline paper since congitive aspects are treated only superficially. The generated theory does not consider any cognitive bias described in the study.;1;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;
Bogdan M.;Davies1994;Knowledge restructuring and the acquisition of programming expertise;Journal of Human-Computer Studies;1994;;;;1;;;;;;;;;;;;;Schema theory, Knowledge restructuring;Knowledge structures, Problem solving;Program memorization and recognition - probe items shown with yes/no question (did the item appear in the program);Response time in miliseconds. Frequency of errors;Central to the paper;1;;;1;;;;A model that emphasizes knowledge restructuring in the development of programming expertise.;1;;;;;1;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;;
Michael U.;DeAlwis2007;A comparative study of three program exploration tools;IEEE International Conference on Program Comprehension;2007;;;;1;;;;;;;;;;;;;;Mental workload;"(1) Subjective mental workload
(2) Focus
(3) Quality of task solutions";NASA Task load index (TLX);Central to the paper;;1;;1;;;;Software exploration tools had no effect on task performance. ;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Michael U.;DeAlwis2008;Creating a Cognitive Metric of Programming Task Difficulty;;2008;;;;;;1;;;;;;;;;;;;Task complexity, cognitive load;Subjective mental workload;TLX (NASA Task load index);Central to the paper.;1;;;1;;;;The developed metric aims at predicting task complexity by analysing the structure of the code that needs to be understood. In other words, the metric measures the artifact, while TLX is used to measure the perceived mental workload. [If I understood the study correctly].;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Fabian F.;DeLucia2008;Data model comprehension: an empirical comparison of ER and UML class diagrams;Proc. 16th IEEE Intl. Conf. Program Comprehension (ICPC);2008;;;1;;;;;;;;;;;;;;None;(Data model) comprehension;Data model comprehension;Comprehension task (experiment). Comprehension assessed as the harmonic mean of precision and recall.;Central to the study;1;;;1;;;;Investigated whether ER and UML diagrams improve data model comprehension. UML class diagrams significantly improved comprehension.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;
Michael U.;Dey2015;From requirements elicitation to variability analysis using repertory grid: A cognitive approach;2015 IEEE 23rd International Requirements Engineering Conference, RE 2015 - Proceedings;2015;1;1;;;;;;;;;;;;;;;Personal Construct Psychology theory;"Not sure what the cognitive concept is here (if one at all). The authors refer to ""repertory grid"" as a cognitive technique/approach.";None;None;Marginally, as an applied concept, but not as a studied concept.;;;1;;;;;Borderline paper. Uses ideas from cognitive psychology but there is no discussion/evaluation of cognitive aspects.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Robert;Dey2015;From requirements elicitation to variability analysis using repertory grid: A cognitive approach;2015 IEEE 23rd International Requirements Engineering Conference, RE 2015 - Proceedings;2015;;1;1;;;;;;;;;;;;;;Kelly's Personal Construct Psychology (which was basis for Repertory Grid);;;;CognPsych lead to an interview technique which is here proposed to be used for SE tasks. Connection to CognPsych unclear though.;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Robert;Dhukaram2016;A Systematic Approach for Developing Decision Aids: From Cognitive Work Analysis to Prototype Design and Development;International Conference on Information Systems, ICIS 2012;2016;1;1;1;;;;;;;;;;;;;;Cognitive Work Analysis;;N/A;None;Central but only a solution proposal with one worked example (which they call case study);1;;1;;;;;Interesting method but not strong on empirical method and not clearly focus on cognitive concepts or measures.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael F.;Dobesova2013;"Using the ""Physics"" of notation to analyse ModelBuilder diagrams";International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM;2013;;;;;;;;;;;;;;;;;Physics of Notation;"Cognitive Fit
Cognitive Integration";;;Improvement of cognitive quality of diagrams;;;1;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Fabian F.;Dunn2005;Critical evaluation of conceptual data models;International Journal of Accounting Information Systems;2005;;1;1;;;;;;;1;;;;;;;;"Cognitive biases
Cognitive load";Choices made when interpreting entity-relationship diagrams;Tasks performed in an experiment setup;Central to the study;1;1;;1;;;;The study confirms the existence of a cognitive bias where system evaluators focus on structural constraints of entity-relationship diagrams and ignore surface semantics (e.g. relationship labels). The study demonstrates that this tendency can be debiased. The study indicates that optional entity participation should be carefully examined in model evaluation. The study indicates that large models should be decomposed before evaluation.;1;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;
Fabian F.;Duseau2012;Vasco: A visual approach to explore object churn in framework-intensive applications;IEEE International Conference on Software Maintenance, ICSM;2012;1;;;1;;1;;;;;;;;;;;;Cognitive effort;Ability to find object churn (excessive use of temporary objects);Evaluation of proposed tool/method in selected tasks;Motivates the study;1;;;1;;;;The proposed tool/method was able to find instances of object churn. It could thus be used by developers to help them identify object churn.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Feigenspan2012;Measuring Programming Experience;Proc. Int’l Conf. Program Comprehension (ICPC);2012;;;;1;;1;;;;;;;;;;;None;Programming experience, (Program) comprehension;Programming experience, (Program) comprehension;Programming experience: Self-assessment, Years of programming, Education, Size of professional projects, Age. Program comprehension: Comprehension task (experiment).;Central to the study;1;;;1;;;;Self-assessment of programming experience reliably predicted comprehension task performance. A five-factor model of programming experience was constructed using factor analysis (experience with mainstream languages, professional experience, functional experience, experience from education, logical experience).;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;
Fabian F.;Figl2012;Symbol choice and memory of visual models;Visual Languages and Human-Centric Computing (VL/HCC);2012;;1;1;;;;;;;;;;;;;;"Symbols and their processing, memory; refers to working memory theory";Visual symbols, cognitive symbols, memory;Diagram recall;Recall task: verbal recall task, visual recall task: estimating symbol amount, visual recall task: recognising model changes;Central to the study;1;;;1;;;;Modelling langauge symbol choice significantly influences memory of visual aspects of diagrams (e.g. layout). No significant effect was found of symbol choice on semantic content recognition accuracy. Symbol choice is relevant for visual langauge design.;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
Fabian F.;Fisher2006;Using Sex Differences to Link Spatial Cognition and Program Comprehension;Proceedings of the 22nd International Conference in Software Maintenance (ICSM’06);2006;;;;1;;1;;;;;;;;;;;Theories of program comprehension, spatial cognition, and sex differences in behaviour are synthesised into hypotheses.;Program comprehension , spatial cognition;Program comprehension, spatial cognition;Spatial comprehension task (experiment). Object memory test, object location test, (Silverman and Eals), mental rotation test (Vandenburg and Kuse).;Central to the study;1;;;1;;;;Shows evidence that similar cognitive skills are used for spatial cognition and program comprehension/development. The similarities are the result of sex-based differences in risk taking behaviour.;1;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1;;1;;;;;;;;;;;;1;;;
Fabian F.;Fletcher1984;Cognitive Abilities and Computer Programming;EDRS(ED259700);1984;;;;1;;;;;;;;;;;;;None;Cognitive processes;Spatial ability, Field Dependence/Independence, General reasoning or non-verbal intellect, Analytic versus holistic processing, Math skills, Programming abilities;"Spatial ability: Paper folding test, Surface development test, Form board test; Field Dependence/Independence: Hidden figures test; General reasoning or non-verbal intellect: Raven's progressive matrices (abbreviated form); Analytic versus holistic processing: Gestalt completion test; Math skils: test designed for the purpose; Programming abilities: tests designed to assess program generation and debugging ability and BASIC command and syntax knowledge";Central to the study;1;;;1;;;;"Illustrates the cognitive processes involved in programming. Many cognitive processes are involved, not just mathematical reasoning. Different processes are at work depending on the task. For programming, holistic processing is important, not just viewing individual statements. The opposite is true if one is concerned with syntax. The study shows a sign difference in the regression coefficient between general and mathematical reasoning for syntax although it is generally assumed that the two have a relationship; the reason is not understood. While mathematical reasoning is highly correlated with overall programming ability, is is relatively insignificant for the more fundamental aspects of programming, indicating that maths reasoning is related more closely to primary abilities than the other cognitive processes tested, or that the others are a foundation for mathematical reasoning.";1;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;1;;1;;;1;;;;;;;;;1;;;
Fabian F.;Fritz2014;Using psycho-physiological measures to assess task difficulty in software development;Proceedings - International Conference on Software Engineering;2014;;;;1;;;;;;;;;;;;;Relationship between psychophysiological characteristics and cognitive load;;"Task difficulty
Cognitive load
Mental load
Arousal (cognitively determined)
Attention
Calmness";"Eye-tracking
Electrodermal activity
EEG";Central to the study;;1;;1;;;;The paper shows that using psychophysiological measurements for predicting task difficulty is promising.;1;1;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Michael F.;Fritz2014a;Developers’ Code Context Models for Change Tasks;Foundations of Software Engineering, FSE;2014;;;;1;;1;;;;;;;;;;;;Program Comprehension;navigation measurement based on code navigation model;;deeper understanding of code change tasks;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Robert;Furuta1994;Support tool for design requirement elaboration;Applications of Artificial Intelligence in Engineering;1994;;;1;;;;;;;;;;;;;;Rasmussen abstraction hierarchies;Cognitive work space;No systematically collected empirical support, they just describe their prototype.;None;Basic for design approach and thus for tool-;1;;1;;;;;Design approach and supporting tool based on abstraction/hierarchy concepts from cognitive problem solving theories.;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Michael U.;Gauvin2004;Reduction of cognitive load through the addition of high-level semantics to ReactoGraph;Proceedings - 2004 IEEE Symposium on Visual Languages and Human Centric Computing;2004;;;;1;;;;;;;;;;;;;;Cognitive support for perception, attention and memory;Task performance;Think aloud protocol / Task completion duration;Central to the paper;1;;1;1;;;;Meta-contribution: paper on UI and cognitive load that is relevant for us since it addresses software development (a visual programming language).;1;1;;;;1;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;1;;;
Robert;Gauvin2004;Reduction of cognitive load through the addition of high-level semantics to ReactoGraph;Proceedings - 2004 IEEE Symposium on Visual Languages and Human Centric Computing;2004;;;;1;;;;;;;;;;;;;Cognitive Load Theory;;None directly.;"Indirectly the think-aloud protocol was used to find problematic areas that could be argued to be ""cognitive"". Main quant measreument was normal UI use/completion times based on paper prototypes of the changed tool was used. Questionnaire also used to judge problems.";Quite central to the redesign of the tool that was done. But not used directly for measurements.;1;;;1;;;;Redesigned dev tool (visual progr lang for UIs);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael F.;Gilmore1988;Programming plans and programming expertise;The Quarterly Journal of Experimental Psychology Section A;1988;;;;1;;;;;;;;;;;;;;;errors (surface, control-flow, plan, interaction);;understanding of program plans and program expertise;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;
Michael F.;Gordon1979;Measuring Improvements in Program Clarity;IEEE Transactions on Software Engineering;1979;1;;;1;;;;;;;;;;;;;;;Mental Effort;Halstead metrics are used to measure program clarity;Measurement of mental effort via Halstead metrics;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael U.;Green1977;Conditional Program Statement and Their Comprehensibility to Professional Programmers;Journal of Occupational Psychology;1977;;;;1;;;;;;;;;;;;;;Cognitive process in program comprehension, in particular tracing;Task performance (problem solving speed and correctness);Evaluation of logically equivalent but different styles of conditional statements ;Given that this is published in a psychology journal, the paper discusses very little how the result from the experiment can be interepreted from a cognitive science standpoint.;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;
Michael U.;Green1989;Cognitive dimensions of notations;People and Computers;1989;;;1;1;;;;;;;;;;;;;Cognitive dimensions of notations. This paper is likely the origin of this theory. CD is an umbrella to discuss notational aspects with cognitive aspects. ;Perception of code structure, comprehension. Complexity of code. ;None;None;Central to the paper;;;;;;1;;Not sure if the paper should be in the review, but definitely important as a background paper. This is also a link paper between HCI and what we are interested in (see IC1b) as both usability of software AND the properties of notations for developing of software are discussed (the latter is however the main purpose).;1;;;;;;1;;;1;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;
Michael U.;Green1996;Usability analysis of visual programming environments: a ’cognitive dimensions’ framework.;Journal of Visual Languages and Computing;1996;;;1;1;;;;;;;;;;;;;See Green1989. Also this paper does not talk about cognitive concepts per se which makes it difficult to extract this data. ;None in particular (although working memory is mentioned several times);None;None;Central to the paper;;;;;;1;;This is a much more comprehensive version of the 1989 paper.;1;;;;;;1;;;1;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;
Michael U.;Gruhn2006;Adopting the cognitive complexity measure for business process models;Fifth IEEE International Conference on Cognitive Informatics;2006;;1;;;;;;;;;;;;;;;;Cognitive complexity;Cognitive weight;None;Central to the paper;;;1;;;;;Cognitive weights are assigned to elements in Business Process Models (based on the idea from other work that did the same for programming control structures). There is however no evidence or connection between a weight and e.g. the mental effort to understand a BPM element. All weights are assigned by means of argumentation. ;1;;;;;;;;;1;;;;;;;;;;;;;;1;1;;;;1;1;1;;;;;;;;;;;;;;;
Fabian F.;Gruhn2007;Approaches for business process model complexity metrics;Technologies for Business Information Systems;2007;;;;;;;;;1;;;;;;;;;Cognitive complexity;Cognitive weight;None;Central to the paper;;;1;;;;;The paper discusses various factors that influence the complexity of BPMs (as used to describe software development processes), and theorises that the ease-of-use of such processes is related to their cognitive complexity.;1;;;;;;;;;1;;;;;;;;;;;;;;1;1;;;;1;1;1;;;;;;;;;;;;;;;
Bogdan M.;Guindon1986;Breakdowns and processes during the early activities of software design by professionals;Empirical Studies of Programmers;1986;;;1;;;;;;;;;;;;;;;cognitive limitations;;Think aloud protocol;Used for motivation and result interpretation. Unclear of the effect on study design;;;;1;;;;Study identifies a list of breakdowns during design, and classifies them into 3 categories: 1. limitations of domain knowledge, 2. cognitive limitations, 3. a combination of the two;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;
Robert;Hadar2013;When intuition and logic clash: The case of the object-oriented paradigm;Science of Computer Programming;2013;;;1;;;;;;;;;;;;;;Dual process theory (slow and fast thinking, Kahnemann);Analytical and intuitive thinking;No, qualitative study;Task based, observations and interviews;Central to paper.;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;;;
Bogdan M.;Hahn1999;Why are some diagrams easier to work with? Effects of diagrammatic representation on the cognitive integration process of systems analysis and design;Transactions on Computer Human Interactions;1999;;;1;;;;;;;;;;;;;;GOMS model of diagram integration;knowledge representation, diagrammatic representation;Integration performance data, behavior data;Number of design errors, analysis behavior graph;Central to the paper;1;;1;1;;;;"the way knowledge is decomposed
and organized through layout in diagrams does have an effect on the
manipulation task of process integration.";1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;
Bogdan M.;Hansen2012a;Computing Requirements: Cognitive Approaches to Distributed Requirements Engineering;Hawaii International Conference on System Sciences;2012;;1;;;;;;;;;;;;;;;Theory of distributed cognition (Hutchin);;;;Central to the paper;;1;;1;;;;Distributed cognition and its role in information system design;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bogdan M.;Hansen2012b;Cognitive Architectures: A Way Forward for the Psychology of Programming;Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software;2012;;;1;;;;;;;;;;;;;;Cognitive modelling;program comprehension, cognitive architectures;Cognitive complexity;;Central to the paper;1;;1;;;;;Paper recommends the ACT-R cognitive architecture and Cognitive Complexity Metric;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Hatton1998;Does OO Sync with How We Think?;IEEE Software;1998;;;;1;1;1;;;;;;;;;;;;"Cognitive fit
Cognitive complexity
Short-term memory
Long-term memory";Fitness of OO (C++) to human cognitive characteristics;None directly;Central to the argument;;;;1;;1;;Argues that OO (C++) is not a perfect fit cognitively. Evidence is given indirectly through a study of defects in an OO (C++) system over its lifetime.;1;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Robert;Heliades2000;Notation and nature of task in comprehending design rationale;Knowledge-Based Systems;2000;;;1;;;;;;;;;;;;;;;Cognitive Fit;None;None. Dep vars are correct answers and response time. Also uses questionnaire to judge intuitiveness etc of different design rationaly formats.;Unclear, only used in base argument and partly in analysis.;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;
Fabian F.;Hendrix2002;The effectiveness of control structure diagrams in source code comprehension activities;IEEE Transactions on Software Engineering;2002;;;;1;;1;;;;;;;;;;;;Program comprehension;Program comprehension;Program comprehension task;Central to the study;1;;;1;;;;Control structure diagrams can significantly enhance program comprehension in students.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;1;;;
Michael U.;Hofman2010;Web applications quality perception;Proceedings of the International MultiConference of Engineers and Computer Scientists 2010, IMECS 2010;2010;;;;;;;;;;;1;;;;;;Gossen's law;Cognitive process assiciated with the perception of software quality.;None;None;Not much as little is discussed about the cognitive process of quality perception.;1;;;;;;;This paper is a precursor to Hoffmann2011, so maybe exlude (use the one which provides more value).;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;
Michael F.;Hofman2011;Behavioral economics in software quality engineering;Empirical software Engineering;2011;;;;;;;;;;;1;;;;;;Software Quality Perception Model;"Observer's Mental State
Observer's Knowledge
Perception of Attributes";Personal Knowledge;Rating of quality aspects on scale with 11 values Likert scale;Subjective quality perception to investigate whether experience with previous versions influences the final version's quality assessment;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;
Michael F.;Hyysalo2013;Supporting cognitive work in software development workflows;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2013;;;;;;;;;1;;;;;;;;;Cognitive Work Support Model;WHY, WHAT, HOW Level to identify cognitive issues;Interview with developers and managers;Make cognitive issues in software processes explicit;;1;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael F.;Iio1997;Experimental analysis of the cognitive processes of program maintainers during software maintenance;Conference on Software Maintenance;1997;;;;;;1;;;;;;;;;;;;Understanding;"Correct Answers
Elapsed Time";Video Camera used to find out how much time needed for moduls;Study of cognitive processes during maintenance;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;;
Fabian F.;Jeffries1981;The processes involved in designing software;Cognitive Skills and Their Acquisition, Lawrence Erlbaum Associates;1981;;;1;1;;;;;;;;;;;;;;"Software design process (as a human information-processing activity)
Problem-solving
Memory
Expert knowledge / Level of expertise (vs. novices)
Knowledge representation (Access to background knowledge, Episodic retrieval, Understanding of concepts, Understanding of implications";Holistic consideration of how experts and novices perform software design;Think-aloud protocols observing experts and novices performing software design;Central to the argument;1;1;;1;;1;;An outline of a theory of problem-solving in software design is given and discussed. Some validation is provided in terms of think-aloud observation of expert and novice software designers.;1;;;;;1;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;1;;;;;;
Fabian F.;Jorgensen2009;Identification of More Risks Can Lead to Increased Over-Optimism of and Over-Confidence in Software Development Effort Estimates;Information & Software Technology;2009;;;;;;;;1;;;;;;;;;Cognitive heuristics and biases;"Illusion of control
Cognitive accessibility
The peak-end rule
Risk as a feeling";"Degree of optimism in effort estimates
Degree of confidence in estimation accuracy and project success probability";Effort estimation task;Central to the study;;1;;1;;;;The paper shows that identification of more risks can lead to increased optimism (lower estimate) and over-confidence in effort estimation.;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;1;;;
Michael U.;Kamthan2006;A framework for the pragmatic quality of Z specifications;International Journal of Software Engineering and Knowledge Engineering;2006;;1;;;;;;;;;;;;;;;;Cognitive dimensions of notations, which is a framework for describing the utility of notational systems.;None;None;Central to the paper.;;;;;;1;;There is no evaluation on how/whether the described cognitive dimensions and their levels correlate with understanding/comprehensiveness of artifacts. ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;
Michael F.;Kant1984;Problem solving techniques for the design of algorithms;Information Processing and Management;1984;;;;1;;;;;;;;;;;;;Problem Space Theory;Problem Space;;;Understanding of algorithm design;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Fabian F.;Khatri2006;Understanding conceptual schemas: exploring the role of application and IS domain knowledge;Information Systems Research;2006;;1;;;;;;;;;;;;;;;Cognitive fit (Vessey 1991);"Domain knowledge
Model comprehension";Conceptual schema (ER model) understanding;"Conceptual schema understanding task with blocked design and different kinds of conceptual schema as task material
Multiple-choice questions to assess understanding
Score in database course to assess level of expertise in IS domain";Central to the study;1;;;1;;;;The study found that 1) IS domain knowledge consistently affects problem solving on all types of schema understanding tasks, 2) the effect of application domain knowledge on problem-solving performance depends on the type of conceptual schema understanding task, and 3) no evidence to suggest that application domain knowledge has an effect on performance on tasks for which cognitive fit exists (i.e., tasks that involve extracting knowledge that is represented directly in the conceptual schema), but application domain knowledge does aid problem solvers in solving more demanding tasks.;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;1;
Fabian F.;Kirs2001;A process model cognitive biasing effects in information systems development and usage;Information and Management;2001;;;1;;;;;;;;;;;;;;;Cognitive biases;;;Central to the paper's theoretical analysis;;1;;;;1;;An overview of biases (both those by the designer and the user of an information system) that may impact various phases of information system development. A model that relates these biases to activities in those various phases.;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
Michael U.;Kjærgaard2007;Making sense of project management - A case of knowledge management in software development;European Conference on Information Systems;2007;;;;;;;;1;;;;;;;;;;Cognitive processes in knowledge management and sensemaking;None;None;Cognitive processes are central to the model;;1;;1;;;;"""The model explains knowledge management as a sensemaking process unfolding in the interaction
between collective and individual cognition.""";1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Robert;Kjærgaard2007;Making sense of project management - A case of knowledge management in software development;European Conference on Information Systems;2007;;;;;;;;1;;;;;;;;;;Cognitive processing (noticing, interpreting, enacting), Belief negotiation;None;None, it is a qualitative interpretation of a case study;Central to analysis and partly to study design since it defines a theoretical model used to analyse what was observed in a case, but also (implicitly) which data to collect.;;1;;1;;;;Model;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Michael F.;Klemola2000;A Cognitive Model for Complexity Metrics;International ECOOP Workshop on Quantitative Approaches in Object-Oriented Software Engineering (ECOOP 2000);2000;;;1;;;;;;;;1;;;;;;;"Short-term memory
Long-term memory";"identifier density
term density";chunking of text and text-based measurement;cognitive complexity metrics to estimate risks where errors occur;;;;;;1;;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael U.;Klemola2002;Modeling comprehension processes in software development;Proceedings - 1st IEEE International Conference on Cognitive Informatics, ICCI 2002;2002;;1;1;1;1;1;;;;;;;;;;;"Hierarchy of cognitive engagement (recognition->searching->memorizing->learning->creation). Not really a theory but a model of ranking comprehension tasks (based on cognitive effort).
Provides also a model of the factors that affect the comprehesion process.";Role of short and long-term memory, expert knowledge on program comprehesion and disucssion on how methods, tools and reference material can reduce the comprehension effort.;None discussed. Treated on a conceptual level.;None;Central to the paper.;;;;;;1;;See venue (1st conference on cognitive informatics). Paper reviews existing ideas and proposes a model of program comprehesion effort, discussing some of its factors.;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Michael F.;Koenemann1991;Expert Program Solving Strategies for Program Comprehension;SIGCHI Conference on Human Factors in Computing Systems;1991;;;;1;;1;;;;;;;;;;;;Program comprehension;process time;information used to complete tasks;better understanding of program comprehension aiming at cognitively adequate tool support;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;;
Robert;Krancher2012;Learning software maintenance tasks in offshoring projects: A cognitive-load perspective;International Conference on Information Systems, ICIS 2012;2012;;;;;;1;;;;;;;;;;;Cognitive Load Theory;Cognitive load;N/A;Qualitative analysis.;Central to paper.;;1;;1;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael F.;Krancher2012a;Learning software-maintenance tasks in the transition phase of offshore outsourcing projects: Two learning-theoretical perspectives;Lecture Notes in Business Information Processing;2012;;;;;;1;;1;;;;;;;;;Cognitive Load Theory;"Learning Task
Supportive Information
Procedural Information
Part-Task Practice";;;Investigation of role of knowledge transfer in transition of offshore outsourcing projects;;;;;;1;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michael F.;Krovi1998;User cognitive representations: The case for an object oriented model;Journal of Systems and Software;1998;;1;1;;;;;;;;;1;;;;;;"object-oriented cognitive structures
user cognitive representations
cognitive economy";"response time
error rates";;Effect of cognitive structures on user performance;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;1;;;
Michael F.;Kudo2003;SpecRefiner: Assistance for stepwise refinement of software development in the upstream process;Systems and Computers in Japan;2003;;;;;;;;;1;;;;;;;;;Cognitive Load;Analytical Time;time measurement;reduce the cognitive load of analysis and design of a system by connecting expert knowledge and task-level knowledge seamlessly through the use of domain-oriented expert knowledge and task-level knowledge;;1;;1;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
Fabian F.;Leite2015;UE dashboard: Awareness of unusual events in commit histories;2015 10th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering, ESEC/FSE 2015 - Proceedings;2015;;;;1;;1;1;;1;;;;;;;;;Awareness (of unusual events), task difficulty;1) difficulty, 2) criticality, and 3) typicality of selected tasks.;5-point scale rating;Indirect;;1;;1;;;;"""Unusual"" version control system events were found to correlate with developers' perception of task difficulty. The evaluated tool was found to be promising for helping awareness through automatic analysis of version control system events.";1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
